,,index,rate_min_windows_future,rate_max_windows_future
AEM,0,"(-0.001, 0.03]",-0.07737485159373966,
AEM,1,"(0.03, 0.0735]",-0.09755896266231356,
AEM,2,"(0.0735, 0.113]",-0.11130884680655266,
AEM,3,"(0.113, 0.16]",-0.12512758277197714,
AEM,4,"(0.16, 0.238]",-0.14559491129825858,
AEM,5,"(0.238, 1.885]",-0.157764934434887,
AEM,6,"(-0.483, -0.207]",,0.18465167207124966
AEM,7,"(-0.207, -0.159]",,0.1736326177549498
AEM,8,"(-0.159, -0.117]",,0.15322437093498242
AEM,9,"(-0.117, -0.079]",,0.1429064081988583
AEM,10,"(-0.079, -0.0344]",,0.13643939584079792
AEM,11,"(-0.0344, 0.0]",,0.15241329141018553
AEO,0,"(-0.001, 0.0365]",-0.08059666815575804,
AEO,1,"(0.0365, 0.0859]",-0.10263938763574619,
AEO,2,"(0.0859, 0.143]",-0.10684912675180151,
AEO,3,"(0.143, 0.222]",-0.14766852301687192,
AEO,4,"(0.222, 0.364]",-0.1947088275039132,
AEO,5,"(0.364, 3.788]",-0.267975802469498,
AEO,6,"(-0.732, -0.313]",,0.42936736959481925
AEO,7,"(-0.313, -0.222]",,0.29753528199885904
AEO,8,"(-0.222, -0.154]",,0.217518828684337
AEO,9,"(-0.154, -0.0948]",,0.20348319921855337
AEO,10,"(-0.0948, -0.0344]",,0.1771534503205075
AEO,11,"(-0.0344, 0.0]",,0.17472550402090617
AEP,0,"(-0.001, 0.0465]",-0.09919539788092074,
AEP,1,"(0.0465, 0.0993]",-0.12256493492493425,
AEP,2,"(0.0993, 0.156]",-0.13532434577157357,
AEP,3,"(0.156, 0.225]",-0.1556882641729873,
AEP,4,"(0.225, 0.325]",-0.17073315078599746,
AEP,5,"(0.325, 5.136]",-0.23068365464503524,
AEP,6,"(-0.598, -0.274]",,0.3074269303807113
AEP,7,"(-0.274, -0.203]",,0.2640390559443818
AEP,8,"(-0.203, -0.151]",,0.2319316885664981
AEP,9,"(-0.151, -0.105]",,0.22504342259700263
AEP,10,"(-0.105, -0.0552]",,0.19527914568089083
AEP,11,"(-0.0552, 0.0]",,0.19917467798850658
AES,0,"(-0.001, 0.0368]",-0.09802393379422665,
AES,1,"(0.0368, 0.0905]",-0.12182001375495287,
AES,2,"(0.0905, 0.15]",-0.13933747548754452,
AES,3,"(0.15, 0.228]",-0.15420291826621738,
AES,4,"(0.228, 0.341]",-0.1884276518622267,
AES,5,"(0.341, 7.358]",-0.23195457689150978,
AES,6,"(-0.889, -0.274]",,0.2498114662583629
AES,7,"(-0.274, -0.21]",,0.3711788475584107
AES,8,"(-0.21, -0.155]",,0.3082685121398151
AES,9,"(-0.155, -0.104]",,0.2377986222487581
AES,10,"(-0.104, -0.0529]",,0.2280697455357827
AES,11,"(-0.0529, 0.0]",,0.24346668161814222
AFG,0,"(-0.001, 0.0506]",-0.10677607989219166,
AFG,1,"(0.0506, 0.11]",-0.1241032109842979,
AFG,2,"(0.11, 0.175]",-0.14688720753126316,
AFG,3,"(0.175, 0.266]",-0.17369227934443665,
AFG,4,"(0.266, 0.459]",-0.21414880341906015,
AFG,5,"(0.459, 8.893]",-0.3523892695873151,
AFG,6,"(-0.842, -0.389]",,0.8098918211445945
AFG,7,"(-0.389, -0.275]",,0.4526184568476371
AFG,8,"(-0.275, -0.193]",,0.31740369952063696
AFG,9,"(-0.193, -0.124]",,0.31400152129716397
AFG,10,"(-0.124, -0.0563]",,0.2991233660237479
AFG,11,"(-0.0563, 0.0]",,0.2750215643129592
AFL,0,"(-0.001, 0.0342]",-0.09260868593950641,
AFL,1,"(0.0342, 0.082]",-0.11210047504497088,
AFL,2,"(0.082, 0.131]",-0.12943682496797101,
AFL,3,"(0.131, 0.204]",-0.1402966218231776,
AFL,4,"(0.204, 0.32]",-0.17018064421394724,
AFL,5,"(0.32, 8.023]",-0.2438076688196336,
AFL,6,"(-0.6, -0.286]",,0.31342592416897136
AFL,7,"(-0.286, -0.215]",,0.3394059608176612
AFL,8,"(-0.215, -0.159]",,0.23646231354492853
AFL,9,"(-0.159, -0.109]",,0.22169826798005526
AFL,10,"(-0.109, -0.0542]",,0.209089659711895
AFL,11,"(-0.0542, 0.0]",,0.22285377652046545
AGCO,0,"(-0.001, 0.0393]",-0.0867344368118398,
AGCO,1,"(0.0393, 0.098]",-0.11426048340976723,
AGCO,2,"(0.098, 0.159]",-0.13572046839026872,
AGCO,3,"(0.159, 0.232]",-0.15566488044442195,
AGCO,4,"(0.232, 0.347]",-0.18363547969842625,
AGCO,5,"(0.347, 3.649]",-0.2578144728105729,
AGCO,6,"(-0.681, -0.291]",,0.31894285604765144
AGCO,7,"(-0.291, -0.226]",,0.2524606223474549
AGCO,8,"(-0.226, -0.164]",,0.25799006175394334
AGCO,9,"(-0.164, -0.108]",,0.21949604688052524
AGCO,10,"(-0.108, -0.0448]",,0.2180878525204005
AGCO,11,"(-0.0448, 0.0]",,0.21118351211666486
AGYS,0,"(-0.001, 0.0742]",-0.12951365211327792,
AGYS,1,"(0.0742, 0.149]",-0.16781566391975106,
AGYS,2,"(0.149, 0.231]",-0.18840602452007796,
AGYS,3,"(0.231, 0.341]",-0.21474655196536066,
AGYS,4,"(0.341, 0.546]",-0.24833540668686202,
AGYS,5,"(0.546, 5.376]",-0.32745902564488605,
AGYS,6,"(-0.848, -0.374]",,0.8301342317508252
AGYS,7,"(-0.374, -0.264]",,0.47272791961894933
AGYS,8,"(-0.264, -0.193]",,0.40131970888028917
AGYS,9,"(-0.193, -0.133]",,0.29733844665683984
AGYS,10,"(-0.133, -0.0717]",,0.23124574039428974
AGYS,11,"(-0.0717, 0.0]",,0.18216202484613184
AIG,0,"(-0.001, 0.0329]",-0.10686729852190074,
AIG,1,"(0.0329, 0.0883]",-0.11515241785925773,
AIG,2,"(0.0883, 0.146]",-0.1322964421817486,
AIG,3,"(0.146, 0.222]",-0.15237426116323688,
AIG,4,"(0.222, 0.368]",-0.1881694437239261,
AIG,5,"(0.368, 6.312]",-0.257550047065335,
AIG,6,"(-0.643, -0.309]",,0.36690539757467133
AIG,7,"(-0.309, -0.228]",,0.28654627326438487
AIG,8,"(-0.228, -0.164]",,0.24656139492724874
AIG,9,"(-0.164, -0.108]",,0.2507041820416243
AIG,10,"(-0.108, -0.0435]",,0.23534453559084292
AIG,11,"(-0.0435, 0.0]",,0.2799948864610532
ALK,0,"(-0.001, 0.0354]",-0.09340987057211238,
ALK,1,"(0.0354, 0.083]",-0.10861357716880321,
ALK,2,"(0.083, 0.133]",-0.1247718578814217,
ALK,3,"(0.133, 0.195]",-0.1341760191114045,
ALK,4,"(0.195, 0.29]",-0.14526855755381354,
ALK,5,"(0.29, 8.673]",-0.21854195127690731,
ALK,6,"(-0.642, -0.247]",,0.30078440643763765
ALK,7,"(-0.247, -0.182]",,0.21341374967081528
ALK,8,"(-0.182, -0.133]",,0.2014356686824665
ALK,9,"(-0.133, -0.0894]",,0.18975112023664098
ALK,10,"(-0.0894, -0.0396]",,0.20487064088131932
ALK,11,"(-0.0396, 0.0]",,0.19521546976193746
ALKS,0,"(-0.001, 0.0419]",-0.09884886963741332,
ALKS,1,"(0.0419, 0.0983]",-0.12315740732264314,
ALKS,2,"(0.0983, 0.158]",-0.13076779498416882,
ALKS,3,"(0.158, 0.232]",-0.15895267967419072,
ALKS,4,"(0.232, 0.356]",-0.18908268662654307,
ALKS,5,"(0.356, 2.485]",-0.25323733364411893,
ALKS,6,"(-0.67, -0.294]",,0.3582435870399022
ALKS,7,"(-0.294, -0.212]",,0.2438757842238447
ALKS,8,"(-0.212, -0.156]",,0.2318871115608443
ALKS,9,"(-0.156, -0.103]",,0.2363476936715911
ALKS,10,"(-0.103, -0.0465]",,0.24424365928553682
ALKS,11,"(-0.0465, 0.0]",,0.19006215611685853
ALL,0,"(-0.001, 0.0295]",-0.10051250653829838,
ALL,1,"(0.0295, 0.0818]",-0.10700075639923211,
ALL,2,"(0.0818, 0.139]",-0.1284762426337143,
ALL,3,"(0.139, 0.227]",-0.15182398349925658,
ALL,4,"(0.227, 0.381]",-0.18900011052299875,
ALL,5,"(0.381, 5.41]",-0.2623139054723883,
ALL,6,"(-0.638, -0.308]",,0.38046329041073174
ALL,7,"(-0.308, -0.22]",,0.24879081410929035
ALL,8,"(-0.22, -0.149]",,0.26542265295787826
ALL,9,"(-0.149, -0.0955]",,0.23662115260286998
ALL,10,"(-0.0955, -0.0399]",,0.19686963316693534
ALL,11,"(-0.0399, 0.0]",,0.20106303537928502
AMAT,0,"(-0.001, 0.0366]",-0.09856197027899086,
AMAT,1,"(0.0366, 0.0934]",-0.11064376659158613,
AMAT,2,"(0.0934, 0.149]",-0.12640542701764404,
AMAT,3,"(0.149, 0.225]",-0.15787957093861033,
AMAT,4,"(0.225, 0.335]",-0.17399059504360162,
AMAT,5,"(0.335, 2.745]",-0.21823171446648665,
AMAT,6,"(-0.557, -0.275]",,0.27801726301880686
AMAT,7,"(-0.275, -0.206]",,0.23986950806086793
AMAT,8,"(-0.206, -0.149]",,0.20209533924524992
AMAT,9,"(-0.149, -0.0954]",,0.18332360297728406
AMAT,10,"(-0.0954, -0.038]",,0.18830447665777733
AMAT,11,"(-0.038, 0.0]",,0.1697284316644125
AMD,0,"(-0.001, 0.038]",-0.09176485243839914,
AMD,1,"(0.038, 0.1]",-0.11667247741010416,
AMD,2,"(0.1, 0.162]",-0.13843982856253367,
